Minus35,Minus10,Basal,Induced,Basal_std,Induced_std
a,A,0.537505063,1.0556498516666666,,0.09809521998865708
a,B,0.7141086466666667,2.225377282,0.15600830517802924,0.025004264005331192
a,C,0.9173296446666667,2.4766880126666666,0.1575929775362432,0.006998638339524551
a,D,1.1900674816666668,2.265399668666667,0.12248715044967082,0.022711833296053703
a,E,1.326067889,2.434093164,0.02521738084604205,0.06448145200285685
a,F,1.216859181,3.0546630093333333,0.14535874688977732,0.03125419969430946
a,G,1.3428048266666668,3.379631158,0.031825793333368255,0.014131484217573568
a,H,1.8803654726666668,4.451237865333334,0.024864935883745894,0.015388936012054228
b,A,1.3344471336666668,1.7183709566666667,0.11680233802483299,0.051122541822275665
b,B,1.5859733745,3.2759936493333335,0.021097611982969156,0.005683203695063137
b,C,1.6582097816666668,3.200141221333334,0.04004621228595027,0.010135796887215442
b,D,1.7503722866666667,3.3505373683333333,0.027682355197935025,0.040235724818807786
b,E,1.8881333823333335,3.4793741,0.02025720595182693,0.023873079386285065
b,F,1.8413880636666666,3.883563654,0.05225750238370453,0.004500538556263985
b,G,2.2111838153333334,4.459104676,0.02379339824431717,0.006859085684147309
b,H,2.8593189513333335,4.908134725333333,0.012427853255395225,0.028993413973760814
c,A,1.4091123636666667,1.4302592033333335,0.11369841138974968,0.08641418622549582
c,B,1.9330130563333334,4.066756877333334,0.021441534041713006,0.01168545478803972
c,C,1.9198953046666667,3.998710083,0.04664153796291746,0.007708942329928237
c,D,1.9829616713333333,4.1160041813333335,0.017768675903124028,0.02446304907981338
c,E,2.162749189,4.189469252,0.017051854781972048,0.0014348907788681502
c,F,2.3501979546666667,4.522513547,0.03223429052297707,0.01767489995051362
c,G,2.9781873739999996,4.885901157,0.014615943536535994,0.006418719379814322
c,H,3.668780588,5.037296551333333,0.011220279754213837,0.027936654259845404
d,A,1.4765295563333334,1.8213372989999999,0.0775253557614451,0.02653665451052589
d,B,2.3393142983333335,4.440789146666667,0.026027240438653565,0.020884687434598252
d,C,2.3080105653333334,4.391190542333333,0.013562665500075717,0.007194955534181028
d,D,2.388362784,4.470516314666667,0.011645533118556947,0.019018254176564445
d,E,2.5782151896666665,4.534448855,0.005388597601745126,0.03478320534604362
d,F,2.8129233326666667,4.790312986333333,0.049195098712230066,0.052982609823416425
d,G,3.4388239793333333,4.968718881333333,0.005285550818587999,0.016553768464708365
d,H,4.272387270333334,5.116052103666667,0.010976235899728454,0.013304042564847107
e,A,1.3125303496666667,2.1102841346666668,0.07446494788991292,0.004604680134430571
e,B,2.448802948,4.784854547333333,0.025104092302747048,0.011796492965655924
e,C,2.397503657666667,4.728344381333334,0.003911923256503508,0.0020228596121898137
e,D,2.470531976666667,4.812023062,0.01999838495915265,0.015660373159894988
e,E,2.6604730113333335,4.835862856666666,0.026283239030925064,0.031215087195271954
e,F,2.8925213306666664,4.947080657666667,0.01867232369759923,0.008270742278508186
e,G,3.534137899333333,5.064347114666667,0.011035981840620933,0.03037515285966802
e,H,4.257627230333333,5.103058420666667,0.023420873853960345,0.02818233235287236
f,A,1.7714523883333335,2.9283901236666665,0.05096867136026078,0.028859403896868193
f,B,3.950673786,4.900920093,0.02401482778780977,0.018178626432810856
f,C,3.8598539913333334,4.940185102,0.026742947159091087,0.011146861027208195
f,D,3.9375402396666668,4.993278796666667,0.02869808876205924,0.0371595321481533
f,E,4.061553273333334,4.9522916876666665,0.004036795138729188,0.02471494725079977
f,F,4.2858614033333335,4.941736006666667,0.0222148585754609,0.007071853259705732
f,G,4.777133467,5.123531669666666,0.008180841023579799,0.025478867355107675
f,H,5.098189758,5.195224161666666,0.0431187540696695,0.01414368286456535
